Country Name,Country Code,Series Name,Series Code,2012 [YR2012]
Honduras,HND,"Population, total",SP.POP.TOTL,8505646
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7154600
Hungary,HUN,"Population, total",SP.POP.TOTL,9920362
IBRD only,IBD,"Population, total",SP.POP.TOTL,4517416870.07723
Iceland,ISL,"Population, total",SP.POP.TOTL,320716
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,5955531931.07723
IDA blend,IDB,"Population, total",SP.POP.TOTL,474993526
IDA only,IDX,"Population, total",SP.POP.TOTL,963121535
IDA total,IDA,"Population, total",SP.POP.TOTL,1438115061
India,IND,"Population, total",SP.POP.TOTL,1263065852
Indonesia,IDN,"Population, total",SP.POP.TOTL,248883232
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,76453574
Iraq,IRQ,"Population, total",SP.POP.TOTL,32776571
Ireland,IRL,"Population, total",SP.POP.TOTL,4586897
Isle of Man,IMN,"Population, total",SP.POP.TOTL,81406
Israel,ISR,"Population, total",SP.POP.TOTL,7910500
Italy,ITA,"Population, total",SP.POP.TOTL,59539717
Jamaica,JAM,"Population, total",SP.POP.TOTL,2840992
Japan,JPN,"Population, total",SP.POP.TOTL,127629000
Jordan,JOR,"Population, total",SP.POP.TOTL,7992573
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,16791425
Kenya,KEN,"Population, total",SP.POP.TOTL,43646629
Kiribati,KIR,"Population, total",SP.POP.TOTL,106613
"Korea, Dem. People’s Rep.",PRK,"Population, total",SP.POP.TOTL,24854034
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,50199853
Kosovo,XKX,"Population, total",SP.POP.TOTL,1805200
Kuwait,KWT,"Population, total",SP.POP.TOTL,3395556
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,5607200
Lao PDR,LAO,"Population, total",SP.POP.TOTL,6415169
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2208049607
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,610545003
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,583515410
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,594330743
Latvia,LVA,"Population, total",SP.POP.TOTL,2034319
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,890423474
Lebanon,LBN,"Population, total",SP.POP.TOTL,4916404
Lesotho,LSO,"Population, total",SP.POP.TOTL,2089928
Liberia,LBR,"Population, total",SP.POP.TOTL,4181563
Libya,LBY,"Population, total",SP.POP.TOTL,6198258
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,36545
Lithuania,LTU,"Population, total",SP.POP.TOTL,2987773
Low & middle income,LMY,"Population, total",SP.POP.TOTL,5935500538.07723
Low income,LIC,"Population, total",SP.POP.TOTL,591576162
Lower middle income,LMC,"Population, total",SP.POP.TOTL,2841934571
Luxembourg,LUX,"Population, total",SP.POP.TOTL,530946
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,562531
"Macedonia, FYR",MKD,"Population, total",SP.POP.TOTL,2074036
Madagascar,MDG,"Population, total",SP.POP.TOTL,22346573
Malawi,MWI,"Population, total",SP.POP.TOTL,16097305
Malaysia,MYS,"Population, total",SP.POP.TOTL,29170456
Maldives,MDV,"Population, total",SP.POP.TOTL,385000
Mali,MLI,"Population, total",SP.POP.TOTL,16006670
Malta,MLT,"Population, total",SP.POP.TOTL,419455
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,52663
Mauritania,MRT,"Population, total",SP.POP.TOTL,3830239
Mauritius,MUS,"Population, total",SP.POP.TOTL,1255882
Mexico,MEX,"Population, total",SP.POP.TOTL,120828307
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,103503
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,404782447
Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,348195697
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,344148796
Middle income,MIC,"Population, total",SP.POP.TOTL,5343924376.07723
Moldova,MDA,"Population, total",SP.POP.TOTL,3559519
Monaco,MCO,"Population, total",SP.POP.TOTL,37783
Mongolia,MNG,"Population, total",SP.POP.TOTL,2814226
Montenegro,MNE,"Population, total",SP.POP.TOTL,620601
Morocco,MAR,"Population, total",SP.POP.TOTL,33333789
Mozambique,MOZ,"Population, total",SP.POP.TOTL,25676606
Myanmar,MMR,"Population, total",SP.POP.TOTL,50986514
Namibia,NAM,"Population, total",SP.POP.TOTL,2263934
Nauru,NRU,"Population, total",SP.POP.TOTL,10279
Nepal,NPL,"Population, total",SP.POP.TOTL,27649925
Netherlands,NLD,"Population, total",SP.POP.TOTL,16754962
New Caledonia,NCL,"Population, total",SP.POP.TOTL,259000
New Zealand,NZL,"Population, total",SP.POP.TOTL,4408100
Nicaragua,NIC,"Population, total",SP.POP.TOTL,5877108
Niger,NER,"Population, total",SP.POP.TOTL,17731634
Nigeria,NGA,"Population, total",SP.POP.TOTL,167297284
North America,NAC,"Population, total",SP.POP.TOTL,348813722
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,53718
Norway,NOR,"Population, total",SP.POP.TOTL,5018573
Not classified,INX,"Population, total",SP.POP.TOTL,..
OECD members,OED,"Population, total",SP.POP.TOTL,1256599264
Oman,OMN,"Population, total",SP.POP.TOTL,3464644
Other small states,OSS,"Population, total",SP.POP.TOTL,27527819
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,2271298
Pakistan,PAK,"Population, total",SP.POP.TOTL,177911533
Palau,PLW,"Population, total",SP.POP.TOTL,20758
Panama,PAN,"Population, total",SP.POP.TOTL,3772938
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,7430836
Paraguay,PRY,"Population, total",SP.POP.TOTL,6379219
Peru,PER,"Population, total",SP.POP.TOTL,30158966
Philippines,PHL,"Population, total",SP.POP.TOTL,96866642
